yahoo_ticker,momentum_3m,momentum_6m,momentum_12m,rsi,dist_sma200
ASSA B.ST,0.004712830938190304,-0.12785148053550388,0.07941517942248044,48.13600761532983,-0.022198155041655676
UCB.BR,-0.010031680237083007,-0.05821085735969067,0.3686735994847792,35.50187629100478,-0.023431761058531952
SLHN.SW,0.040650407600905325,0.1438914202956838,0.19860172220039884,81.11881993158114,0.110101311925773
EXPN.L,-0.004011701166109383,-0.09838237483693113,-0.3266455030532315,51.5240499328753,-0.06871750909222862
SIKA.SW,0.024326080208859846,0.09606410227646855,-0.21255740968518455,31.578972500784644,0.028311566057637183
GIVN.SW,0.18067226890756305,0.10956241503078723,-0.08134582317573635,42.61603375527426,0.10251405922723977
FER.MC,-0.060618545295324844,-0.01808294185768211,0.2564618453939824,26.567158060629794,-0.01858069281831587
ADYEN.AS,-0.11852567234758438,-0.4267645088798262,-0.47389686154335653,42.35231969034311,-0.26340881081251877
EQNR.OL,0.06748988779011844,0.5074337060869758,0.4483822741864367,81.6685965762245,0.2522256226664119
REP.MC,0.21659777995687612,0.630147825803355,0.9403378582399151,84.66555662206905,0.3350417666522054
KBC.BR,0.10930119032390784,0.08700129573875137,0.41638774978147053,57.458576810095046,0.12606389339976043
MT.AS,0.11982870805379808,0.2544253243990957,1.0471844026705628,65.8965793637138,0.24627751515040286
ERIC B.ST,0.06694916547355012,0.2795791848888063,0.8153679329128709,63.82869982014286,0.26426374774132855
BMPS.MI,0.3711043121408162,0.39470717396410193,0.7847302912292382,64.74360502684658,0.3900052402220182
VOD.L,0.02063620501589969,0.1407975783851776,0.3957823599154686,57.78417399621165,0.13605681375355072
VIE.PA,0.07242948570092,0.27467346609530496,0.24354334533724198,57.391300886470496,0.15940366006664553
ACS.MC,-0.034337549926141464,0.25744171042268693,0.9906008853590631,33.68420545413808,0.16485094351981644
IMB.L,0.017154132345130524,-0.06850287458984039,-0.027424525934639954,51.18978217088556,-0.06398192013084159
ABN.AS,0.3397353183048617,0.2792312081485202,0.6256242844811783,61.63637914735325,0.2899244480084038
SAMPO.HE,0.07145879489127038,0.013689415421254125,0.0535596145609023,65.58560447179669,0.03905937320749109
ML.PA,0.1444344925518808,0.1721694636891955,0.18311023271578608,61.69355800075832,0.18513141592526194
VWS.CO,-0.01044659196594655,0.04760505312405505,0.5777079753590884,51.13729384875311,0.1301477557280064
AV..L,-0.03826530537770123,-0.048181092001635784,-0.09914942300538543,67.85011028708787,-0.055327614443483775
DTG.DE,0.02976905705088506,0.07463758656553243,0.019073751503036362,58.08001708984373,0.11308589386673407
DNB.OL,0.01894591881251606,0.1291911992562751,0.2152457532326597,57.738028199715906,0.08586543749524145
EQT.ST,-0.01365066110750035,-0.11192666397112239,-0.04461352768002469,70.20461221398057,0.017024599105768035
RYA.IR,0.04107290516208795,-0.1443334631399137,0.007180249441822273,33.07209422186719,-0.054817238646236666
PKO.WA,0.1063915577857033,0.2466224160600594,0.4479665275057063,61.407249553663995,0.20965610926945177
AMS.MC,0.0019580798233309604,-0.13315502361767362,-0.29944353156479697,37.97071701534302,-0.10978596152207609
HEI.DE,-0.06482330959827798,-0.2673731072721657,-0.12517236860842473,58.15084363239183,-0.11150055386928037
A5G.IR,0.11895369828947411,0.23934143140486075,0.6988911925898149,72.35772231651268,0.20154895854523147
HEIA.AS,0.14018966529142363,0.1318034516330866,0.001312620017355881,62.62833482553044,0.10016919191772211
HO.PA,-0.06154747167695074,-0.09402370005920313,-0.047261733088938884,44.49649029959041,-0.06115121304807147
PUB.PA,0.16184584682007763,0.03933558546076066,0.08338786594421665,55.10203854661848,0.09406568622516032
IHG.L,-0.006849315068493178,0.06548215973980076,0.25537808562874065,41.54002586772772,0.02787530477811817
BPE.MI,0.18716510362715555,0.21432896782557398,0.8896794995242232,50.482319056566595,0.21407786315007615
VACN.SW,0.2122452003907329,0.39708263759960105,1.0551317790395291,47.27104830556874,0.4044791870502873
UMG.AS,-0.06519258725559307,-0.10739809332651284,-0.3262360519735247,39.17321785126152,-0.08181132257033485
