yahoo_ticker,pe_ratio,roe,debt_to_equity,revenue_growth,momentum_3m,momentum_6m,momentum_12m,rsi,dist_sma200,z_pe_ratio,z_roe,z_debt_to_equity,z_revenue_growth,z_momentum_3m,z_momentum_6m,z_momentum_12m,z_rsi,z_dist_sma200,z_pe_ratio_adj,z_debt_to_equity_adj,n_factores_disponibles,score,factores_faltantes,score_ajustado,nombre,sector,pais
MNDI.L,22.850002,0.03735,55.423,0.021,0.0360866072701011,-0.1132020022655775,-0.3505993298647847,52.15675542498754,-0.0656199936851896,-0.0650226177724502,-0.566899415011045,-0.1497115273586251,-0.2039125282046604,-0.0184412661801063,-0.7136712437866469,-1.1029311026557642,-0.0435337491749744,-0.8382355376029142,0.0650226177724502,0.1497115273586251,9,-0.3636545219427818,0,-0.3636545219427818,MONDI PLC,Materials,Reino Unido
ADEN.SW,12.144579,0.085839994,94.902,0.015,0.0638521918605434,-0.037801292302544,-0.1702070650010273,81.13925752914199,0.0295637680002123,-0.6051794333596912,-0.3353050962767235,-0.0738980854398992,-0.2240382598995156,0.1878960767278713,-0.4334324153718355,-0.744035935178564,2.036486518765608,-0.2003089045901001,0.6051794333596912,0.0738980854398992,9,0.1073710558862589,0,0.1073710558862589,ADECCO GROUP AG,Industriales,Suiza
MANTA.HE,29.421053,0.06083,27.563,-0.714,-0.1115401005833117,-0.0313431038966049,0.0898622123466237,63.06306538513419,-0.0233991825759488,0.2665287822256026,-0.4547559776684487,-0.2032124390295312,-2.669314660824416,-1.1155153271098726,-0.4094295226477514,-0.2266212504643742,0.7391918306946625,-0.555269416101974,-0.2665287822256026,0.2032124390295312,9,-0.5283367408131385,0,-0.5283367408131385,MANDATUM,Financieros,Finlandia
TUI1.DE,5.233846,0.38056,146.42,-0.001,0.0140089213318181,-0.2597454677961501,-0.1432511936913988,30.6034205908574,-0.0986428128341082,-0.9538699550376912,1.0723147728233866,0.0250344331337454,-0.2777068777524626,-0.1825095226658797,-1.2583235303800735,-0.6904065184434862,-1.590376500556133,-1.0595562278051756,0.9538699550376912,-0.0250344331337454,9,-0.3397476536528753,0,-0.3397476536528753,TUI N AG,Consumo discrecional,Reino Unido
DNP.WA,18.729559,0.19067,10.137,0.148,-0.1243751203659866,-0.249685015947434,-0.4174491136761153,57.55814920573313,-0.1980621904336666,-0.2729252265426725,0.1653762158819216,-0.23667643352979,0.2220821260031067,-1.2108975752128028,-1.2209322479798146,-1.2359305102240563,0.3441142357610317,-1.725870183939174,0.2729252265426725,0.23667643352979,9,-0.4613840310708139,0,-0.4613840310708139,DINO POLSKA SA,Productos básicos de consumo,Polonia
FTK.DE,24.426666,,13.851,0.185,0.0974459955263302,-0.0443428919381173,0.450350229852497,47.999993575244126,0.0821686834799559,0.0145301290448443,,-0.2295442588727281,0.3461908047880468,0.4375452841483696,-0.4577453193051087,0.4905791656067224,-0.3418568154650008,0.1522520366640552,-0.0145301290448443,0.2295442588727281,8,0.105247410783121,1,0.055247410783121,FLATEXDEGIRO N,Financieros,Alemania
LOOMIS.ST,19.498825,0.13317001,137.88,-0.023,0.1901910275947547,0.3871839173527795,0.2846320635140309,65.09008529114399,0.2257172601739914,-0.2341108543408888,-0.1092509785714391,0.0086346561893973,-0.3515012273002649,1.12677130863846,1.1460932589330934,0.1608785040679497,0.8846672790485519,1.1143222320706323,0.2341108543408888,-0.0086346561893973,9,0.4663840638931638,0,0.4663840638931638,LOOMIS CLASS B,Industriales,Suecia
RAND.AS,20.292994,0.07401,51.104,-0.025,0.2421053054260087,0.1623978254347886,-0.2109329318671061,76.66666997803566,0.1481179611986594,-0.1940399670832714,-0.3918066376269061,-0.1580055129116274,-0.3582098045318833,1.5125674049459297,0.310639705857457,-0.8250611211564362,1.715497229331333,0.5942476033424389,0.1940399670832714,0.1580055129116274,9,0.3233244289063146,0,0.3233244289063146,RANDSTAD HOLDING,Industriales,Holanda
SFZN.SW,19.114584,0.15979,51.013,0.05,-0.0947709241928391,-0.128970856371636,-0.1793529496663565,52.45901229271636,-0.063973293381784,-0.2534982615435801,0.0178894464977915,-0.1581802646331655,-0.1066381583461939,-0.9908967624297552,-0.7722787184681512,-0.7622319138762623,-0.0218413359823243,-0.8271992645923484,0.2534982615435801,0.1581802646331655,9,-0.3390575756689442,0,-0.3390575756689442,SIEGFRIED HOLDING AG,Cuidado de la Salud,Suiza
KGX.DE,14.603572,0.06136,127.552,-0.006,-0.1045673874133664,-0.3682187831684508,-0.2166867249813234,54.39430265929458,-0.2221228441697103,-0.4811075654445871,-0.4522246309141227,-0.0111987040308868,-0.2944783208315086,-1.0636982618628033,-1.6614819996982968,-0.8365084442715143,0.117050853945468,-1.887125964905808,0.4811075654445871,0.0111987040308868,9,-0.6206844998959012,0,-0.6206844998959012,KION GROUP AG,Industriales,Alemania
IP.MI,17.693878,0.09994,31.498,0.006,-0.0346076310898013,-0.2631677656960195,0.0210880136900524,55.21628770414231,-0.1182741961953093,-0.3251819333467107,-0.2679616917029913,-0.1956558673344481,-0.2542268574417983,-0.5437988812726664,-1.2710430492601488,-0.3634493321096832,0.1760431917044031,-1.191126803155902,0.3251819333467107,0.1956558673344481,9,-0.3549695136175143,0,-0.3549695136175143,INTERPUMP GROUP,Industriales,Italia
BKW.SW,20.250738,0.066989996,31.963,-0.106,-0.1083012352843476,-0.0839188078239733,-0.2174078254581787,62.130199953411015,-0.1082688894552318,-0.1961720515790878,-0.4253350609113515,-0.1947629052408741,-0.6299071824124277,-1.0914460028120816,-0.6048355563430996,-0.8379430926839854,0.672241813809571,-1.1240707052675485,0.1961720515790878,0.1947629052408741,9,-0.4055956477556623,0,-0.4055956477556623,BKW N AG,Servicios,Suiza
PUM.DE,,-0.27302998,154.314,-0.063,0.1333596703932551,0.3296192280569026,0.1839602628088237,61.78160636046046,0.2329216548476147,,-2.0493132923332884,0.0401936648900316,-0.4856727719326326,0.7044343972503907,0.9321448611759884,-0.0394106979198105,0.6472239000350577,1.1626064683275488,,-0.0401936648900316,8,0.1039773999641528,1,0.0539773999641528,PUMA,Consumo discrecional,Alemania
FNTN.DE,10.890908,0.16812,43.826,0.259,-0.0400938851044506,-0.1231127760398252,-0.0609311478037293,73.29191663586468,-0.0682740776402597,-0.6684351249053753,0.0576745756742748,-0.1719818099375016,0.5944081623579269,-0.5845694644460038,-0.7505062236235887,-0.5266286165589488,1.47329745907721,-0.8560233494230353,0.6684351249053753,0.1719818099375016,9,0.0275632753223013,0,0.0275632753223013,FREENET AG,Comunicación,Alemania
SRP.L,16.757143,0.16969,104.087,0.012,-0.0099432466259166,-0.0840062208485455,0.321548296009339,63.20534351589957,0.0317383681944529,-0.3724461838718058,0.0651730934182219,-0.0562596836560775,-0.2341011257469432,-0.3605078168197818,-0.605160440864828,0.2343243220138427,0.7494028674993239,-0.1857346184356404,0.3724461838718058,0.0562596836560775,9,0.0102335720657865,0,0.0102335720657865,SERCO GROUP PLC,Industriales,Reino Unido
BC.MI,41.37688,0.26525,210.724,0.1,-0.0249083022584518,0.0054164555837041,-0.1894135632899579,47.03831533056277,-0.0253477001563151,0.8697764483880659,0.5215796893491629,0.1485205287577923,0.0610762724442656,-0.4717192269606045,-0.2728067257688243,-0.7822477699557503,-0.4108746743436522,-0.5683284845544029,-0.8697764483880659,-0.1485205287577923,9,-0.3268464329928516,0,-0.3268464329928516,BRUNELLO CUCINELLI,Consumo discrecional,Italia
COTN.SW,,0.03864,29.569,-0.102,0.2147077891858568,0.3408106909551767,0.271791626971781,42.524274807531846,0.3312240086924574,,-0.5607382125335343,-0.1993602197613389,-0.6164900279491909,1.3089653275303847,0.973739727489552,0.1353321169942487,-0.7348389664695392,1.821434071850307,,0.1993602197613389,8,0.3158455320841958,1,0.2658455320841958,COMET HOLDING AG,Tecnología de la Información,Suiza
UTG.L,27.3,0.020450002,28.106,0.226,0.0094057813785359,-0.1726024880345112,-0.3957429323083529,47.603368757898814,-0.1097802530954105,0.1595081409887487,-0.6476159340401336,-0.2021696897460674,0.4837166380362238,-0.2167173263553706,-0.934442673489601,-1.1927454900506176,-0.3703218408752198,-1.1341999447635016,-0.1595081409887487,0.2021696897460674,9,-0.4410738914201002,0,-0.4410738914201002,UNITE GROUP PLC,Inmobiliario,Reino Unido
